,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
1,1,0,0,166603.91,-1,0.999896,1642214.25,,,0.999896,3233.04,1.00066,20605.09,1.0,-5.519986,0,0_0_1
192,1,0,10,165923.2,-1,0.999955,1642894.96,,,0.999896,3743.52,1.00066,33717.42,0.999973,-1.6200542,1,0_10_1
383,1,0,20,165923.2,-1,0.999955,1642894.96,,,0.999896,3743.52,1.00066,33717.42,0.999973,-6.4599514,2,0_20_1
574,1,0,30,165923.2,-1,0.999896,1642894.96,,,0.999896,4254.0,1.000308,3574.83,1.00012,-5.1498413,3,0_30_1
765,1,0,40,162349.47,-1,0.999955,1646468.69,,,0.999896,21270.0,1.000308,3574.83,1.000248,-6.750226,4,0_40_1
956,1,0,50,155542.37,-1,0.999955,1653275.8,,,0.999896,20929.68,1.000308,3574.83,1.000248,-5.9497356,5,0_50_1
1147,1,0,60,175963.68,-1,1.000249,1634726.44,,,1.000249,170.22,1.000543,2383.78,1.000268,-4.6801567,6,0_60_1
1338,1,0,70,158945.92,-1,1.000249,1651744.2,,,1.000249,510.66,1.000543,2383.78,1.000301,-5.7697296,7,0_70_1
1529,1,0,80,136822.82,-1,0.99925,1673867.3,,,0.999191,340.08,0.999838,11059.75,0.99921,1.2695789,8,0_80_1
1720,1,0,90,133249.09,-1,0.999191,1677441.03,,,0.999191,17004.0,0.999426,2040.96,0.999401,-1.2999773,9,0_90_1
1911,1,0,100,132057.85,-1,0.999191,1678632.27,,,0.999191,170.04,0.999779,10718.82,0.9992,-5.980134,10,0_100_1
2102,1,0,110,132057.85,-1,0.999191,1678632.27,,,0.999191,170.04,0.999779,10718.82,0.9992,-10.449886,11,0_110_1
2293,1,0,120,115550.62,-1,0.999191,1695139.5,,,0.999191,170.04,0.999779,12930.64,0.999199,-6.5499544,12,0_120_1
2484,1,0,130,115550.62,-1,0.999015,1695139.5,,,0.999015,170.01,0.999661,11908.4,0.999024,5.120039,13,0_130_1
2675,1,0,140,115550.62,-1,0.998956,1695139.5,,,0.998956,2890.0,0.999426,10715.04,0.999056,10.709763,14,0_140_1
2866,1,0,150,115550.62,-1,0.998956,1695139.5,,,0.999015,17001.0,0.999074,2380.28,0.999066,8.100271,15,0_150_1
3057,1,0,160,115550.62,-1,0.99831,1695139.5,,,0.998133,169.86,0.998956,13770.0,0.998143,18.160343,16,0_160_1
3248,1,0,170,74707.99,-1,0.997605,1715220.46,,,0.997605,169.77,0.998075,44670.55,0.997606,25.310516,17,0_170_1
3439,1,0,180,487558.95,-1,0.997663,1767975.53,,,0.997605,4583.79,0.998251,1528.92,0.998089,18.529892,18,0_180_1
3630,1,0,190,607364.01,-1,0.998427,1767465.0,,,0.998604,40785.6,0.99925,1360.4,0.999229,5.0497055,19,0_190_1
3821,1,0,200,571626.7,-1,0.998839,1803202.3,,,0.998662,24642.75,0.999779,340.28,0.999764,1.4901161,20,0_200_1
4012,1,0,210,523806.78,-1,0.999367,1851022.22,,,0.999367,1190.49,0.999779,2892.38,0.999487,3.1495094,21,0_210_1
4203,1,0,220,472923.67,-1,0.999603,1901905.34,,,0.999544,17010.0,1.000425,17025.0,0.999984,-2.71976,22,0_220_1
4394,1,0,230,400598.17,-1,0.999309,1974230.83,,,0.999191,41659.8,1.000484,5788.84,1.000326,-7.2699785,23,0_230_1
4585,1,0,240,433272.28,-1,0.999367,2002990.86,,,0.99925,17005.0,1.000484,5788.84,1.000171,-2.3001432,24,0_240_1
4776,1,0,250,281473.82,-1,0.99925,2205161.9,,,0.999132,22784.02,0.999896,510.48,0.99988,-3.489852,25,0_250_1
4967,1,0,260,287259.86,-1,0.99925,2205161.9,,,0.999132,45227.98,0.999896,510.48,0.999888,-3.4600496,26,0_260_1
